generation,mse_best,mse_median,k_mlp,k_proteins,k_total,k_mlp_ratio,fitness_best,fitness_median,age_max,threshold,n0_sat,n1_sat,n2_sat,n3_sat
169,0.022195812314748764,0.026330333203077316,4,0,4,1.0,-0.002219581278041005,-0.0026365364901721478,16,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
170,0.022195812314748764,0.026315275579690933,4,0,4,1.0,-0.002219581278041005,-0.0026315273717045784,17,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
171,0.022195812314748764,0.02618574909865856,4,0,4,1.0,-0.002219581278041005,-0.002745605306699872,18,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
172,0.022195812314748764,0.025921382009983063,4,0,4,1.0,-0.002219581278041005,-0.002598907332867384,19,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
173,0.022195812314748764,0.027022138237953186,4,0,4,1.0,-0.002219581278041005,-0.0027022138237953186,20,0.95,0.5600000023841858,0.7099999785423279,0.7299999594688416,0.6399999856948853
174,0.022193696349859238,0.025866344571113586,4,0,4,1.0,-0.0022193696349859238,-0.002586634596809745,21,0.95,0.5600000023841858,0.6899999976158142,0.7599999904632568,0.6200000047683716
175,0.022193696349859238,0.025731226429343224,4,0,4,1.0,-0.0022193696349859238,-0.0025747246108949184,22,0.95,0.5600000023841858,0.6899999976158142,0.7599999904632568,0.6200000047683716
176,0.022193696349859238,0.02566012181341648,4,0,4,1.0,-0.0022193696349859238,-0.0025660120882093906,23,0.95,0.5600000023841858,0.6899999976158142,0.7599999904632568,0.6200000047683716
177,0.02194920927286148,0.02542613074183464,4,0,4,1.0,-0.0022193696349859238,-0.0025505730882287025,24,0.95,0.5600000023841858,0.6899999976158142,0.7599999904632568,0.6200000047683716
178,0.022193696349859238,0.02526240423321724,4,0,4,1.0,-0.0022193696349859238,-0.002526240423321724,25,0.95,0.5600000023841858,0.6899999976158142,0.7599999904632568,0.6200000047683716
179,0.022193696349859238,0.02507586032152176,4,0,4,1.0,-0.0022193696349859238,-0.002507586032152176,26,0.95,0.5600000023841858,0.6899999976158142,0.7599999904632568,0.6200000047683716
180,0.022193696349859238,0.024873150512576103,4,0,4,1.0,-0.0022193696349859238,-0.002487315097823739,27,0.95,0.5600000023841858,0.6899999976158142,0.7599999904632568,0.6200000047683716
181,0.022193696349859238,0.025124138221144676,4,0,4,1.0,-0.0022193696349859238,-0.0025124140083789825,28,0.95,0.5600000023841858,0.6899999976158142,0.7599999904632568,0.6200000047683716
182,0.022193696349859238,0.024806462228298187,4,0,4,1.0,-0.0022193696349859238,-0.0024806461296975613,29,0.95,0.5600000023841858,0.6899999976158142,0.7599999904632568,0.6200000047683716
183,0.022193696349859238,0.02471408061683178,4,0,4,1.0,-0.0022193696349859238,-0.0024714081082493067,30,0.95,0.5600000023841858,0.6899999976158142,0.7599999904632568,0.6200000047683716
184,0.022193696349859238,0.024665124714374542,4,0,4,1.0,-0.0022193696349859238,-0.0024665123783051968,31,0.95,0.5600000023841858,0.6899999976158142,0.7599999904632568,0.6200000047683716
